baker_name,baker,baker_age,baker_occupation,hometown,series,episode,signature_bake,show_stopper,technical,result
Nancy Birtwhistle,Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,1,Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes,1,STAR BAKER
Kate Henry,Kate,41,Furniture Restorer,"Brighton, East Sussex",5,5,Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies",3,STAR BAKER
Richard Burr,Richard,38,Builder,"Mill Hill, London",5,7,Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",1,STAR BAKER
Richard Burr,Richard,38,Builder,"Mill Hill, London",5,9,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets,2,STAR BAKER
Nancy Birtwhistle,Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,10,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill,1,WINNER
Marie Campbell,Marie,66,Retired,"Auchterarder, Perthshire",6,1,Zingy Citrus Madeira Cake,A Walk in the Black Forest,3,STAR BAKER
Ian Cumming,Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,3,Wild Garlic Pesto Soda Breads,Flour Power,1,STAR BAKER
Nadiya Hussain,Nadiya,30,Full-time mother,Leeds / Luton,6,5,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll,1,STAR BAKER
Tamal Ray,Tamal,29,Trainee anaesthetist,Manchester,6,7,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",3,STAR BAKER
Nadiya Hussain,Nadiya,30,Full-time mother,Leeds / Luton,6,9,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door,4,STAR BAKER
Nadiya Hussain,Nadiya,30,Full-time mother,Leeds / Luton,6,10,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake,1,WINNER
Jane Beedle,Jane,61,Garden designer,Beckenham,7,1,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake,7,STAR BAKER
Tom Gilliford,Tom,26,Project engagement manager,Rochdale,7,3,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir,4,STAR BAKER
Benjamina Ebuehi,Benjamina,23,Teaching assistant,South London,7,4,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros,1,STAR BAKER
Candice Brown,Candice,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,5,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",2,STAR BAKER
Candice Brown,Candice,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,10,Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens,2,WINNER
Steven Carter-Bailey,Steven,34,Marketer,"Watford, Hertfordshire",8,2,Amarpressi Biscuits,'Check Bake' Game,6,STAR BAKER
Kate Lyon,Kate,29,Health and safety inspector,Merseyside,8,4,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake,6,STAR BAKER
Liam Charles,Liam,19,Student,North London,8,6,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie,4,STAR BAKER
Stacey Hart,Stacey,42,Former school teacher,"Radlett, Hertfordshire",8,8,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake,3,STAR BAKER
NA,Manon,NA,NA,NA,9,1,NA,NA,3,STAR BAKER
NA,Rahul,NA,NA,NA,9,3,NA,NA,4,STAR BAKER
NA,Kim-Joy,NA,NA,NA,9,7,NA,NA,6,STAR BAKER
NA,Ruby,NA,NA,NA,9,9,NA,NA,1,STAR BAKER
NA,Rahul,NA,NA,NA,9,10,NA,NA,2,WINNER
NA,Steph,NA,NA,NA,10,6,NA,NA,3,STAR BAKER
NA,Henry,NA,NA,NA,10,7,NA,NA,3,STAR BAKER
NA,Steph,NA,NA,NA,10,8,NA,NA,4,STAR BAKER
NA,Alice,NA,NA,NA,10,9,NA,NA,4,STAR BAKER
