baker_name,baker,baker_age,baker_occupation,hometown,series,episode,signature_bake,show_stopper,technical,result
Ali Imdad,Ali,25,Charity worker,"Saltley, Birmingham",4,1,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake",11,IN
Ali Imdad,Ali,25,Charity worker,"Saltley, Birmingham",4,2,Italian Grissini,Sweet and Savoury Yin Yang Bread,9,IN
Ali Imdad,Ali,25,Charity worker,"Saltley, Birmingham",4,3,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops,5,IN
Ali Imdad,Ali,25,Charity worker,"Saltley, Birmingham",4,4,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha",8,OUT
Alice Fevronia,Alice,28,Geography teacher,Essex,10,NA,NA,NA,NA,NA
Alvin Magallanes,Alvin,37,Nurse,"Bracknell, Berkshire",6,1,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,2,IN
Alvin Magallanes,Alvin,37,Nurse,"Bracknell, Berkshire",6,2,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,6,IN
Alvin Magallanes,Alvin,37,Nurse,"Bracknell, Berkshire",6,3,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,4,IN
Alvin Magallanes,Alvin,37,Nurse,"Bracknell, Berkshire",6,4,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes,9,IN
Alvin Magallanes,Alvin,37,Nurse,"Bracknell, Berkshire",6,5,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",8,IN
Alvin Magallanes,Alvin,37,Nurse,"Bracknell, Berkshire",6,6,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,6,OUT
Amelia LeBruin,Amelia,24,Fashion designer,Halifax,10,NA,NA,NA,NA,NA
Andrew Smyth,Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,1,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake,12,IN
Andrew Smyth,Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,2,Beehive Biscuits,Punting in Cambridge,4,IN
Andrew Smyth,Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,3,Chocolate Barmbrack Bread,Braided Harvest Bread Basket,2,IN
Andrew Smyth,Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,4,Yorkshire 'Tapas' Puddings,Churros Window Box,4,IN
Andrew Smyth,Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,5,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites,6,IN
Andrew Smyth,Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,6,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio,6,IN
Andrew Smyth,Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,7,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes,1,STAR BAKER
Andrew Smyth,Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,8,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane,2,IN
Andrew Smyth,Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,9,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants,2,STAR BAKER
Andrew Smyth,Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",7,10,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic,1,Runner-up
Annetha Mills,Annetha,30,Midwife,Essex,1,1,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",2,IN
Annetha Mills,Annetha,30,Midwife,Essex,1,2,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,7,OUT
Antony Amourdoux,Antony,30,Banker,London,9,NA,NA,NA,NA,NA
Beca Lyne-Pirkis,Beca,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,1,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence,8,IN
Beca Lyne-Pirkis,Beca,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,2,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath,11,IN
Beca Lyne-Pirkis,Beca,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,3,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread,10,IN
Beca Lyne-Pirkis,Beca,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,4,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast,2,IN
Beca Lyne-Pirkis,Beca,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,5,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece,5,IN
